Atoms	256
214	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
215	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
216	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
217	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
218	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
219	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
220	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
221	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
222	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
223	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
224	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
225	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
226	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
227	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
228	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
229	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
230	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
231	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
232	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
233	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
234	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
235	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
236	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
237	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
238	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
239	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
240	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
241	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
242	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
243	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
244	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
245	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
246	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
247	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
248	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
249	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
250	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
251	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
252	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
253	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
254	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
255	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
256	0	 0.238000	 1.705000	 0.000000	 0.000000	 0.000000	 0.000000
end
